# SYNTHETIC DATA - generated for practice, not real statistics. Never cite these numbers. Real figures: Department of Census and Statistics, or the Central Bank of Sri Lanka Annual Economic Review.
district,province,year,population,schools,internet_users_pct,households,avg_monthly_income_lkr
Colombo,Western,2021,580512,314,57.9,148932,91332
Colombo,Western,2022,587889,310,60.5,137304,100807
Colombo,Western,2023,595361,328,61.7,137113,107605
Colombo,Western,2024,602928,323,66.9,139087,111656
Colombo,Western,2025,610591,302,72.4,146196,105455
Gampaha,Western,2021,1490186,338,38.2,366337,51742
Gampaha,Western,2022,1503902,347,40.7,377366,57149
Gampaha,Western,2023,1517744,356,,417322,63390
Gampaha,Western,2024,1531714,362,50.8,402594,69059
Gampaha,Western,2025,1545812,366,55.8,428187,73511
Kalutara,Western,2021,770068,784,44.7,213761,60974
Kalutara,Western,2022,776805,785,48.8,186186,66760
Kalutara,Western,2023,783601,792,53.1,214762,67633
Kalutara,Western,2024,790457,805,55.6,189714,76246
Kalutara,Western,2025,797372,800,51.6,184892,68972
Kandy,Central,2021,1070294,765,42.2,251980,64991
Kandy,Central,2022,1076085,770,44.0,290390,67023
Kandy,Central,2023,1081907,769,50.2,273564,77654
Kandy,Central,2024,1087762,783,51.0,282632,71708
Kandy,Central,2025,1093647,749,49.4,291470,75818
Matale,Central,2021,2371880,308,18.5,582500,78127
Matale,Central,2022,2411441,307,21.6,660908,81392
Matale,Central,2023,2451662,324,27.2,602969,86710
Matale,Central,2024,2492554,320,31.1,622517,92766
Matale,Central,2025,2534128,344,35.9,601770,104249
Nuwara Eliya,Central,2021,1997077,343,41.7,468502,51729
Nuwara Eliya,Central,2022,2008476,351,45.2,506604,55122
Nuwara Eliya,Central,2023,2019940,353,46.3,557405,58061
Nuwara Eliya,Central,2024,2031470,361,51.1,503455,68104
Nuwara Eliya,Central,2025,2043065,371,59.2,545204,58548
Galle,Southern,2021,1982725,542,60.7,547748,74636
Galle,Southern,2022,1994531,545,64.5,519967,78251
Galle,Southern,2023,2006407,556,66.7,494243,83959
Galle,Southern,2024,2018354,530,72.7,534712,96139
Galle,Southern,2025,2030372,570,71.8,521380,90230
Matara,Southern,2021,936188,722,44.4,258491,68365
Matara,Southern,2022,948618,722,46.8,246029,75657
Matara,Southern,2023,961214,716,49.7,241949,83273
Matara,Southern,2024,973977,719,57.7,268152,77147
Matara,Southern,2025,986910,754,50.7,258099,84160
Hambantota,Southern,2021,2060438,528,55.8,540715,49755
Hambantota,Southern,2022,2077083,532,58.5,475449,53353
Hambantota,Southern,2023,2093862,530,61.7,559446,53325
Hambantota,Southern,2024,2110778,552,67.0,545552,67243
Hambantota,Southern,2025,2127829,556,68.7,557027,71354
Jaffna,Northern,2021,2396424,712,27.6,640328,59018
Jaffna,Northern,2022,2413090,715,29.9,583759,61733
